rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category
18wheelr,"18 Wheeler: American Pro Trucker (deluxe, Rev A)",2000,Sega,0,0,unknown,false,,
18wheelro,18 Wheeler: American Pro Trucker (deluxe),2000,Sega,0,0,unknown,true,18wheelr,
18wheelrt,"18 Wheeler: American Pro Trucker (deluxe, Rev T)",2000,Sega,0,0,unknown,true,18wheelr,
18wheels,18 Wheeler: American Pro Trucker (standard),2000,Sega,0,0,unknown,true,18wheelr,
18wheelu,18 Wheeler: American Pro Trucker (upright),2000,Sega,0,0,unknown,true,18wheelr,
alienfnt,Alien Front (Rev T),2001,Sega,0,0,unknown,false,,
alienfnta,Alien Front (Rev A),2001,Sega,0,0,unknown,true,alienfnt,
alpilot,"Airline Pilots (World, Rev B)",1999,Sega,0,0,unknown,false,,
alpilotj,"Airline Pilots (Japan, Rev A)",1999,Sega,0,0,unknown,false,,
anmlbskt,Animal Basket / Hustle Tamaire Kyousou (24 Jan 2005),2005,MOSS / Sammy,0,270,unknown,false,,
anmlbskta,Animal Basket / Hustle Tamaire Kyousou (19 Jan 2005),2005,MOSS / Sammy,0,270,unknown,true,anmlbskt,
anpanman2,Soreike! Anpanman Popcorn Koujou 2 (Rev C),2003,Sega,0,0,unknown,false,,
anpanman2a,Soreike! Anpanman Popcorn Koujou 2 (Rev A),2003,Sega,0,0,unknown,true,anpanman2,
asndynmt,Asian Dynamite / Dynamite Deka EX,2007,Sega,0,0,unknown,false,,
asndynmto,Asian Dynamite / Dynamite Deka EX (older),2007,Sega,0,0,unknown,true,asndynmt,
ausfache,Akatsuki Blitzkampf Ausf. Achse (Japan),2008,Subtle Style,0,0,unknown,false,,
azumanga,Azumanga Daioh Puzzle Bobble (GDL-0018),2002,MOSS (Taito license),0,0,unknown,false,,
basschal,Sega Bass Fishing Challenge Version A,2009,Sega,0,0,unknown,false,,
basschalo,Sega Bass Fishing Challenge,2009,Sega,0,0,unknown,true,basschal,
bdrdown,Border Down (Rev A) (GDL-0023A),2003,G.Rev,0,0,unknown,false,,
beachspi,Beach Spikers (GDS-0014),2001,CRI / Sega,0,0,unknown,false,,
bingogal,Bingo Galaxy (main),2009,Sega,0,0,unknown,false,,
bingogals,Bingo Galaxy (satellite),2009,Sega,0,0,unknown,false,,
blokpong,Block Pong-Pong,2004,MOSS / Sammy,0,270,unknown,false,,
btlracer,Saikyou Saisoku Battle Racer,2009,Sega,0,0,unknown,false,,
capsnk,Capcom Vs. SNK: Millennium Fight 2000 (Rev C),2000,Capcom / SNK,0,0,unknown,false,,
capsnka,Capcom Vs. SNK: Millennium Fight 2000 (Rev A),2000,Capcom / SNK,0,0,unknown,true,capsnk,
capsnkb,Capcom Vs. SNK: Millennium Fight 2000,2000,Capcom / SNK,0,0,unknown,true,capsnk,
cfield,Chaos Field (Japan) (GDL-0025),2004,Able,0,0,unknown,false,,
chocomk,Musapey's Choco Marker (Rev A) (GDL-0014A),2002,Ecole Software,0,0,unknown,false,,
claychal,Sega Clay Challenge,2008,Sega,0,0,unknown,false,,
cleoftp,Cleopatra Fortune Plus (GDL-0012),2002,Altron / Taito,0,0,unknown,false,,
clubk2k3,"Club Kart: European Session (2003, Rev A)",2003,Sega,0,0,unknown,false,,
clubk2kp,"Club Kart: European Session (2003, prototype, set 1)",2003,Sega,0,0,unknown,true,clubk2k3,
clubk2kpa,"Club Kart: European Session (2003, prototype, set 2)",2003,Sega,0,0,unknown,true,clubk2k3,
clubkcyc,Club Kart for Cycraft (Rev A) (GDS-0029A),2003,Sega,0,0,unknown,false,,
clubkcyco,Club Kart for Cycraft (GDS-0029),2003,Sega,0,0,unknown,true,clubkcyc,
clubkprz,"Club Kart Prize (Export, Japan, Rev A)",2003,Sega,0,0,unknown,false,,
clubkpzb,"Club Kart Prize Version B (Export, Japan)",2004,Sega,0,0,unknown,false,,
clubkpzbp,Club Kart Prize Version B (prototype),2004,Sega,0,0,unknown,true,clubkpzb,
clubkrt,Club Kart: European Session (Rev D),2001,Sega,0,0,unknown,false,,
clubkrta,Club Kart: European Session (Rev A),2001,Sega,0,0,unknown,true,clubkrt,
clubkrtc,Club Kart: European Session (Rev C),2001,Sega,0,0,unknown,true,clubkrt,
clubkrto,Club Kart: European Session,2001,Sega,0,0,unknown,true,clubkrt,
confmiss,Confidential Mission (GDS-0001),2000,Sega,0,0,unknown,false,,
crackndj,Crackin' DJ,2000,Sega,0,0,unknown,false,,
crakndj2,Crackin' DJ Part 2 (Japan),2001,Sega,0,0,unknown,false,,
crzytaxi,Crazy Taxi,1999,Sega,0,0,unknown,false,,
csmash,Cosmic Smash (Rev A),2000,Sega,0,0,unknown,false,,
csmasho,Cosmic Smash,2000,Sega,0,0,unknown,true,csmash,
cspike,Cannon Spike / Gun Spike,2000,Psikyo / Capcom,0,0,unknown,false,,
